figure,panel,claim,evidence_file,evidence_sha256,deployability,transformation,limitation,output_file
Figure 3,d,Both prototype routes share the same main-prototype geometry while correctness partitions differ.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed3407/evaluation/test_predictions.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;5ed18c7f42b62940d866abd749c500bc0327e5afc355f4fd6c4c313a95100c77;6870dfd1224c66aa780b978aaefa409b7e2fd7c9b0410c84243d7bfcf7a23b01;edf190b8edf44b96382a3437df6c32d5ad851c41bf45db61b6ba3e416509a5d4;35e28a1e75128dc08afec26220b0c19c3164598c6d7998de680dd43bd46acc89;efb817c1a0701079fff35d77c81f642de8d3d7e0f89a27fd3b71a8142fb48377;1935922b2465e5f12a214232db290e4738620f2d50c0d121d4232785ebdf66f1;cc5f091ae8b3eb79509ac97cf3cd0abb0e905db648809c733225cafd43bb7c5d;9b2be2830eced1d774394f5ab8c573c38f9eccaa9a2159268470071a8eef99b1;3f2272b366c6198398203148776a5300115bbe04bd4356366be1330c28fb98c2;5c60b0c5f5b11578bd07b75d2a70386ab144e6096ad997a00ce3d4692994e9c1;4e9f39954f2a6f2791f1fa966f286d1b93a01bd51a61b3b16995108ae394ac3f;965e4b9f614afde5088fd12cadf797ba972d8c7cc6b522d92212ce8adeb38895;c9a215f332466ffd3ab0ef884286eae299a8bcaf526455eeeb25effcc6124657;ebb1dde761eda53a7a7dd48a3f5c1eb248e114dbe916df15f8bad5c29839229f;65e4550d1efa0bc2a6a5975320f3ed3e191a67450435eee0965a8f9e06f3eec0;f2bec3e706429054f50c3dfd9b8274bd79d8aa5746866d39cb35b986a9bca91d;4666342ba1e84cbe6d8ea5cf163a23eba18fdaf7d34ea2e6dcbcbfc0e1fa7bed;551eef82cb53af5a346060117cb418723e446d1c1128fc7a2fb509fe3c20b4dc;25410a83867675250ac7307cad1713448eabd07b27b89175def5564aa76221f6;cde101ee69714e1dbf21af94ed839b3b03392293893e022ef95e670d23a18b42;8b481820a28ed053d3daeda2a321e3978b94581ffe4fcdf27aace86a07862559;c3ffea9b78463f1c8acf2177eb224c2fdd40f19293d071361510f2b1398125a0;24be318f46b99829ab989752ff17c0332349fdffacb80fcaa445e35978ab9451;ca2ee8f89704ed790113772f94dfbcc33a01b5ccbe906fd370cadff47da3bb39,deployable_score_label_aware_evaluation,Show 25-run correct/error shared-margin distributions and error AUROC with fold-cluster CI,Does not invent a hierarchical or mapped-subtype cosine-distance vector.,paper/figures_final/figure3_prototype_functional_value.svg
Figure 4,a,Seven unique frozen cases show complete Top-2 candidate evidence.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/calibration/val_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_main_prototype_samples.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_aux_prototype_samples.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;47aa838974ecdd84c590cfb34fe96c38eedaa7f0c3a725cc6f0345f0152ad824;c62e54fd1a986a1cb5459dcda0073f97837e1fe6737cf15c64609519d866cdfe;d32cc6dc569ab614db9b69d6bd3486546aa5daa0c1d2016b52ba330f5da0afd7,label_aware_frozen_test_case_evidence,"Apply the locked fold-0/seed-42 protocol and tabulate true class plus Softmax, main-prototype, and subtype Top-2 evidence",Cases are illustrative and do not estimate population prevalence.,paper/figures_final/figure4_prototype_candidate_cases.svg
Figure 4,b,The same cases expose the complete shared main-prototype geometry.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/calibration/val_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_main_prototype_samples.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_aux_prototype_samples.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;47aa838974ecdd84c590cfb34fe96c38eedaa7f0c3a725cc6f0345f0152ad824;c62e54fd1a986a1cb5459dcda0073f97837e1fe6737cf15c64609519d866cdfe;d32cc6dc569ab614db9b69d6bd3486546aa5daa0c1d2016b52ba330f5da0afd7,deployable_case_geometry,Show distances from every case to all four main-class prototypes,Does not use true labels to define the displayed distances.,paper/figures_final/figure4_prototype_candidate_cases.svg
Figure 4,c,The seventh case is the minimum remaining shared predicted-distance margin.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/calibration/val_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_main_prototype_samples.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_aux_prototype_samples.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;47aa838974ecdd84c590cfb34fe96c38eedaa7f0c3a725cc6f0345f0152ad824;c62e54fd1a986a1cb5459dcda0073f97837e1fe6737cf15c64609519d866cdfe;d32cc6dc569ab614db9b69d6bd3486546aa5daa0c1d2016b52ba330f5da0afd7,deployable_case_score,Show the label-free shared main-prototype predicted-distance margin,Does not call this a hierarchical decision distance.,paper/figures_final/figure4_prototype_candidate_cases.svg
Figure 4,d,Every illustrative case is linked to a deterministic representative for the hierarchical-predicted main class.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/calibration/val_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_main_prototype_samples.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_aux_prototype_samples.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;47aa838974ecdd84c590cfb34fe96c38eedaa7f0c3a725cc6f0345f0152ad824;c62e54fd1a986a1cb5459dcda0073f97837e1fe6737cf15c64609519d866cdfe;d32cc6dc569ab614db9b69d6bd3486546aa5daa0c1d2016b52ba330f5da0afd7,train_only_representative_trace,Attach the closest same-run train-only representative of the hierarchical-predicted main class,Does not treat a representative as a biological exemplar.,paper/figures_final/figure4_prototype_candidate_cases.svg
Supplementary Figure S1,a,No retained clean alternative replaces the 2-s Log-Mel mainline.,paper/tables/table2_clean_baseline_and_architecture_ablations.csv,81880bac54ffe9abe4de559b2404679b496630f727f251deabe66b9d8642b9b7,label_aware_descriptive_evaluation,Plot every locked clean ablation as mean plus sample SD without unmatched inference,Unmatched n=15 and n=25 rows do not establish significance.,paper/figures_final/figure_s1_complete_clean_ablations.svg
Supplementary Figure S2,a,The fixed-lambda cohort provides a retrospective cumulative view.,paper_results/tables/cumulative_framework_summary.csv;paper_results/tables/cumulative_framework_runs.csv,29b53451bf7295bb007a9c5c586a500bf97baf2058960959f90df949c78f7f61;e511e3637e60d9379d4d14016f7fe384ce6b8f46b9162512f9aed36b55a41dae,retrospective_label_aware_evaluation,Plot all 25 fixed-lambda retrospective stage trajectories and their mean,Does not supersede the validation-selected primary analysis.,paper/figures_final/figure_s2_fixed_lambda_retrospective_cumulative.svg
Supplementary Figure S2,b,Fixed-lambda paired increments remain bounded retrospective evidence.,paper_results/tables/cumulative_framework_paired_stats.csv,35d6b13f00d4955684e874a41fcb935bab2ff14424e532c7529d8be50a450d4f,retrospective_label_aware_evaluation,Plot fixed-lambda matched increments and stored bootstrap intervals,Does not make nonsignificant increments significant.,paper/figures_final/figure_s2_fixed_lambda_retrospective_cumulative.svg
Supplementary Figure S3,a,All candidate weights are retained in the fold-wise selection audit.,paper/final_validation/lambda_selection_by_fold.csv,1b8a7d926a6750c9c70c12e51230a1e03ab05ee9a7fbd88a02d6c56dfb124fb8,validation_only_selection,Plot all candidate validation means and sample SD values,Does not use test metrics.,paper/figures_final/figure_s3_lambda_selection_by_fold.svg
Supplementary Figure S3,b,Selected weights vary across folds under the locked rule.,paper/final_validation/lambda_selection_by_fold.csv,1b8a7d926a6750c9c70c12e51230a1e03ab05ee9a7fbd88a02d6c56dfb124fb8,validation_only_selection,Show the selected lambda for each fold,Does not define one globally optimal lambda.,paper/figures_final/figure_s3_lambda_selection_by_fold.svg
Supplementary Figure S4,a,Best epochs document convergence of the frozen cohorts.,paper/final_validation/convergence_best_epoch_summary.csv,6d4fda65ba3642893de39ade66d1e9d8c71005b5db3c2c23e95cc8dcb6cd1db8,validation_selected_training_diagnostic,Summarise best epochs across matched fold-seed runs,Does not compare compute efficiency prospectively.,paper/figures_final/figure_s4_best_epoch_validation_test_gap.svg
