"paper","year","score_context","reported_metric","reported_value","same_dataset","same_labels","same_split","same_metric","same_sample_unit","same_clean_noise_condition","same_class_balance","comparability","exceeds_B2_0.951050","exceeds_B3_0.953986","valid_comparison_statement","citation_verified","source_url"
"PVMC","2025","pig-vocalization activity segmentation","accuracy","0.9580","no","no","no","no","no; 0.2 s segment detection","noisy multi-stage pipeline","no","contextual_only","yes","yes","The segmentation accuracy exceeds our Macro-F1 only numerically; it is a different binary stage and sample unit.","yes","https://www.nature.com/articles/s41598-025-17205-9"
"PVMC","2025","cough/scream/contextual coarse classification","accuracy","0.9888","no","no","no","no","no; stage-level clips","noisy multi-stage pipeline","no","contextual_only","yes","yes","The coarse-stage accuracy is not a four-state or current-main-task comparison.","yes","https://www.nature.com/articles/s41598-025-17205-9"
"PVMC","2025","final calm/feeding/frightened/anxious ensemble","F1","0.9201","partially; 1650-clip subset differs from both published 4000 and local 1746","partially; exact four contextual labels","no; 6:2:2 split","no; averaging and aggregation differ","partially; 1.9-2.5 s clips","pipeline/noise context differs","no; 242/179/750/479","partially_comparable","no","no","The final-state F1 is the most task-adjacent PVMC number but remains a different subset and protocol.","yes","https://www.nature.com/articles/s41598-025-17205-9"
"PVMC","2025","final ensemble results table","recall","0.9215","partially","partially","no","no","partially","pipeline/noise context differs","no","partially_comparable","no","no","Results identify 92.15% as recall; the abstract's use of accuracy is internally inconsistent and should not be copied unqualified.","yes","https://www.nature.com/articles/s41598-025-17205-9"
"PVMC","2025","final ensemble results table","precision","0.9213","partially","partially","no","no","partially","pipeline/noise context differs","no","partially_comparable","no","no","Precision is contextual only to the final PVMC stage.","yes","https://www.nature.com/articles/s41598-025-17205-9"
"HiSSNet","2023","alpha=1 cross-validation SED L1","per-segment accuracy","0.935","no","no","no","no","partially; audio segments but 1 s","noise/reverb augmentation differs","no","not_comparable","no","no","This is a non-pig hierarchical sound-event task and supplies method precedent, not a benchmark score.","yes","https://arxiv.org/abs/2303.07538"
"HiSSNet","2023","alpha=1 cross-validation SED L2","per-segment accuracy","0.931","no","no","no","no","partially","different","no","not_comparable","no","no","Method-context score only.","yes","https://arxiv.org/abs/2303.07538"
"HiSSNet","2023","alpha=1 cross-validation SED L3","per-segment accuracy","0.913","no","no","no","no","partially","different","no","not_comparable","no","no","Method-context score only.","yes","https://arxiv.org/abs/2303.07538"
"HiSSNet","2023","alpha=1 cross-validation SID L2","per-segment accuracy","0.967","no","no","no","no","partially","different","no","not_comparable","yes","yes","The number is above ours but is speaker identification on different data.","yes","https://arxiv.org/abs/2303.07538"
"HiSSNet","2023","post-training evaluation SED L1","per-segment accuracy","0.941","no","no","no","no","partially","different","no","not_comparable","no","no","Method-context score only.","yes","https://arxiv.org/abs/2303.07538"
"HiSSNet","2023","post-training evaluation SID L2","per-segment accuracy","0.965","no","no","no","no","partially","different","no","not_comparable","yes","yes","The number is above ours but is speaker identification on different data.","yes","https://arxiv.org/abs/2303.07538"
"AudioProtoPNet","2025","mean across seven BirdSet test soundscapes","AUROC","0.90","no","no","no","no","no; multi-label 5 s clips","different species and soundscapes","no","not_comparable","no","no","This establishes prototype interpretability evidence, not pig-score evidence.","yes","https://www.sciencedirect.com/science/article/pii/S1574954125000901"
"AudioProtoPNet","2025","mean across seven BirdSet test soundscapes","cmAP","0.42","no","no","no","no","no","different","no","not_comparable","no","no","Different species, task, and metric.","yes","https://www.sciencedirect.com/science/article/pii/S1574954125000901"
"AudioProtoPNet","2025","mean across seven BirdSet test soundscapes","top-1 accuracy","0.62","no","no","no","no","no","different","no","not_comparable","no","no","Different species and multi-label protocol.","yes","https://www.sciencedirect.com/science/article/pii/S1574954125000901"
"AudioProtoPNet","2025","SSW regional test only","AUROC","0.97","no","no","no","no","no","different","no","not_comparable","yes","yes","The regional AUROC is numerically above ours but is not an aggregate pig-classification result.","yes","https://www.sciencedirect.com/science/article/pii/S1574954125000901"
"Prototypical Networks for Few-shot Learning","2017","miniImageNet 5-way 1-shot","accuracy","0.4942","no","no","no","no","no; images","not applicable","no","not_comparable","no","no","Foundational method score only.","yes","https://papers.nips.cc/paper_files/paper/2017/hash/cb8da6767461f2812ae4290eac7cbc42-Abstract.html"
"Prototypical Networks for Few-shot Learning","2017","miniImageNet 5-way 5-shot","accuracy","0.6820","no","no","no","no","no; images","not applicable","no","not_comparable","no","no","Foundational method score only.","yes","https://papers.nips.cc/paper_files/paper/2017/hash/cb8da6767461f2812ae4290eac7cbc42-Abstract.html"
"Prototypical Networks for Few-shot Learning","2017","Omniglot reported configurations","accuracy maximum","0.997","no","no","no","no","no; images","not applicable","no","not_comparable","yes","yes","Some Omniglot accuracies are numerically above ours but have no benchmark comparability.","yes","https://papers.nips.cc/paper_files/paper/2017/hash/cb8da6767461f2812ae4290eac7cbc42-Abstract.html"
"DCASE 2022 few-shot bioacoustic event detection overview","2022","best evaluation submission","event-level macro F-measure","0.6022","no","no","no","no; IoU event F-measure","no; onset/offset events in long recordings","different species and recording conditions","no","not_comparable","no","no","This is event detection, not closed-set clip classification.","yes","https://dcase.community/documents/workshop2022/proceedings/DCASE2022Workshop_Nolasco_14.pdf"
"DCASE 2022 few-shot bioacoustic event detection overview","2022","ProtoNet baseline evaluation","event-level macro F-measure","0.0530","no","no","no","no","no","different","no","not_comparable","no","no","This is a few-shot detection baseline, not a classification score.","yes","https://dcase.community/documents/workshop2022/proceedings/DCASE2022Workshop_Nolasco_14.pdf"
"DCASE 2022 few-shot bioacoustic event detection overview","2022","ProtoNet baseline validation","event-level macro F-measure","0.2845","no","no","no","no","no","different","no","not_comparable","no","no","This is a validation detection score.","yes","https://dcase.community/documents/workshop2022/proceedings/DCASE2022Workshop_Nolasco_14.pdf"
"A Conformer-Based Time-Frequency Decoupling Network for Pig Vocalization Behavior Classification","2026","grouped 5-fold cross-validation","accuracy","0.9734","no","no; five-class taxonomy","no","no","partially; clip classification","commercial-farm conditions differ","unknown","contextual_only","yes","yes","A recent grouped pig study reports 97.34% accuracy, but not on our data, labels, metric, or split.","yes","https://www.mdpi.com/2076-2615/16/9/1337"
"A Conformer-Based Time-Frequency Decoupling Network for Pig Vocalization Behavior Classification","2026","independent test","accuracy","0.9738","no","no","no","no","partially","commercial-farm conditions differ","unknown","contextual_only","yes","yes","The independent-test accuracy is important context but cannot be ranked against our Macro-F1.","yes","https://www.mdpi.com/2076-2615/16/9/1337"
"Improving pig audio signal recognition via integrated underdetermined blind source separation and deep learning","2025","simulated group-housing recognition","accuracy","0.9835","no","no","no","no","no; separated-source spectrograms","simulated mixtures and source separation","unknown","contextual_only","yes","yes","The 98.35% result belongs to a source-separation pipeline on different data.","yes","https://www.sciencedirect.com/science/article/pii/S0168169925006179"
"Robustness of CNN-Based model assessment for pig vocalization classification across diverse acoustic environments","2026","within-farm GJDS/ISDS/JEDS 10-fold results","accuracy range","0.9745-0.9918","no","no","no","no","partially; 3 s clips","three other farms","yes within each constructed dataset","contextual_only","yes","yes","High within-farm accuracy is not a matched comparison and should be contrasted with the lower unseen-farm result.","yes","https://www.sciencedirect.com/science/article/pii/S0168169925012876"
"Robustness of CNN-Based model assessment for pig vocalization classification across diverse acoustic environments","2026","train on two farms, test on unseen farm","F1","0.9166","no","no","no","no; averaging differs","partially; 3 s clips","explicit cross-farm shift","yes within source datasets","contextual_only","no","no","The unseen-farm F1 is more relevant to generalization but remains a different task and dataset.","yes","https://www.sciencedirect.com/science/article/pii/S0168169925012876"
"Robustness of CNN-Based model assessment for pig vocalization classification across diverse acoustic environments","2026","train on two farms, test on unseen farm","accuracy","0.9132","no","no","no","no","partially","explicit cross-farm shift","yes within source datasets","contextual_only","no","no","The unseen-farm accuracy illustrates domain-shift cost; it is not directly comparable.","yes","https://www.sciencedirect.com/science/article/pii/S0168169925012876"
"Hierarchical Acoustic Encoding Distress in Pigs","2026","5-fold grouped by animal","Macro-F1","0.597","no","no; six distress conditions","no","yes by metric name only","partially; calls","different farm and feature conditions","no","contextual_only","no","no","This is useful source-grouped pig evidence but a different handcrafted-feature task.","yes","https://www.mdpi.com/2076-2615/16/8/1148"
"Hierarchical Acoustic Encoding Distress in Pigs","2026","5-fold grouped by animal","balanced accuracy","0.609","no","no","no","no","partially","different","no","contextual_only","no","no","The title's hierarchical encoding is biological variance structure, not our neural hierarchy.","yes","https://www.mdpi.com/2076-2615/16/8/1148"
